Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Obama,Romney,Undecided,Other,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
YouGov/Economist,2012-06-02,2012-06-04,2012-06-06T10:50:22Z,836,Registered Voters,Internet,47.0,42.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14015,http://cdn.yougov.com/cumulus_uploads/document/h5w42vv4f3/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-06-01,2012-06-03,2012-06-04T11:38:07Z,1500,Likely Voters,Automated Phone,44.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13996,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-05-31,2012-06-03,2012-06-05T15:26:43Z,1000,Registered Voters,Automated Phone,50.0,42.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14008,http://dailykos.com/weeklypolling/2012/5/31,Sponsor,Dem,,1
Pew,2012-05-09,2012-06-03,2012-06-05T17:09:59Z,2388,Registered Voters,Live Phone,49.0,42.0,9.0,,https://elections.huffingtonpost.com/pollster/polls/pew-14010,http://www.people-press.org/files/legacy-pdf/06-05-2012%20Econ%20News%20FINAL.pdf,Nonpartisan,None,,1
Gallup,2012-05-25,2012-06-01,2012-06-04T10:22:45Z,2265,Registered Voters,Live Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13994,http://www.gallup.com/poll/153902/Romney-Obama-Tight-Race-Gallup-Daily-Tracking-Begins.aspx?utm_source=alert&utm_medium=email&utm_campaign=syndication&utm_content=morelink&utm_term=Politics,Nonpartisan,None,,1
CNN,2012-05-29,2012-05-31,2012-06-01T16:13:27Z,895,Registered Voters,Live Phone,49.0,46.0,,5.0,https://elections.huffingtonpost.com/pollster/polls/cnn-13981,http://i2.cdn.turner.com/cnn/2012/images/06/01/rel5b.pdf,Nonpartisan,None,,1
Rasmussen,2012-05-29,2012-05-31,2012-06-01T11:07:44Z,1500,Likely Voters,Automated Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13974,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
YouGov/Economist,2012-05-26,2012-05-28,2012-05-30T13:56:00Z,850,Registered Voters,Internet,46.0,43.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13956,http://cdn.yougov.com/cumulus_uploads/document/ayfnab9ii1/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-05-26,2012-05-28,2012-05-29T11:00:21Z,1500,Likely Voters,Automated Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13919,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
Rasmussen,2012-05-23,2012-05-25,2012-05-29T10:59:47Z,1500,Likely Voters,Automated Phone,44.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13916,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
Gallup,2012-05-18,2012-05-24,2012-05-29T10:49:43Z,2265,Registered Voters,Live Phone,47.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13913,http://www.gallup.com/poll/153902/Romney-Obama-Tight-Race-Gallup-Daily-Tracking-Begins.aspx?utm_source=alert&utm_medium=email&utm_campaign=syndication&utm_content=morelink&utm_term=Politics,Nonpartisan,None,,1
Rasmussen,2012-05-20,2012-05-22,2012-05-23T10:22:17Z,1500,Likely Voters,Automated Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13875,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
YouGov/Economist,2012-05-19,2012-05-21,2012-05-23T17:37:17Z,850,Registered Voters,Internet,46.0,42.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13885,http://cdn.yougov.com/cumulus_uploads/document/osny9o0ez8/econToplines.pdf,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-05-17,2012-05-20,2012-05-22T11:34:01Z,1000,Registered Voters,Automated Phone,47.0,46.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13862,http://www.dailykos.com/weeklypolling/2012/5/17,Sponsor,Dem,,1
ABC/Post,2012-05-17,2012-05-20,2012-05-22T11:01:01Z,874,Registered Voters,Live Phone,49.0,46.0,2.0,3.0,https://elections.huffingtonpost.com/pollster/polls/abc-post-13859,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_20120520.html,Nonpartisan,None,,1
NBC/WSJ,2012-05-16,2012-05-20,2012-05-23T08:32:09Z,,Registered Voters,Live Phone,47.0,43.0,5.0,6.0,https://elections.huffingtonpost.com/pollster/polls/nbc-wsj-13873,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/120522NBCWSJpoll.pdf,Nonpartisan,None,,1
Rasmussen,2012-05-17,2012-05-19,2012-05-21T10:58:18Z,1500,Likely Voters,Automated Phone,46.0,44.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13843,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
Gallup,2012-05-11,2012-05-17,2012-05-18T13:02:22Z,2265,Registered Voters,Live Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13837,http://www.gallup.com/poll/153902/Romney-Obama-Tight-Race-Gallup-Daily-Tracking-Begins.aspx?utm_source=alert&utm_medium=email&utm_campaign=syndication&utm_content=morelink&utm_term=Politics,Nonpartisan,None,,1
Rasmussen,2012-05-14,2012-05-16,2012-05-17T10:53:49Z,1500,Likely Voters,Automated Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13821,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
TIPP/Investor's Business Daily/Christian Science Monitor,2012-05-09,2012-05-16,2012-05-17T11:13:02Z,778,Registered Voters,Live Phone,43.0,40.0,13.0,3.0,https://elections.huffingtonpost.com/pollster/polls/tipp-investor-s-business-daily-christian-science-monitor-13822,http://www.tipponline.com/presidency/news/presidency/obama-maintains-3-point-advantage-post-gay-marriage-announcement,Nonpartisan,None,,1
FOX,2012-05-13,2012-05-15,2012-05-17T10:27:13Z,913,Registered Voters,Live Phone,46.0,39.0,8.0,3.0,https://elections.huffingtonpost.com/pollster/polls/fox-13819,http://www.foxnews.com/politics/interactive/2012/05/16/fox-news-poll-presidential-race/,Nonpartisan,None,,1
YouGov/Economist,2012-05-12,2012-05-14,2012-05-16T15:26:02Z,715,Registered Voters,Internet,42.0,46.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13818,http://cdn.yougov.com/cumulus_uploads/document/osny9o0ez8/econToplines.pdf,Nonpartisan,None,,1
Mason-Dixon,2012-05-10,2012-05-14,2012-05-18T11:01:01Z,1000,Likely Voters,Live Phone,44.0,47.0,9.0,,https://elections.huffingtonpost.com/pollster/polls/mason-dixon-13834,http://ronsachs.com/docs/sachs_masondixon_poll.pdf,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-05-10,2012-05-13,2012-05-15T11:12:04Z,1000,Registered Voters,Automated Phone,48.0,46.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13799,http://dailykos.com/weeklypolling/2012/5/10,Sponsor,Dem,,1
Washington Times/JZ Analytics,2012-05-11,2012-05-12,2012-05-16T14:09:18Z,800,Likely Voters,Live Phone,43.0,44.0,13.0,,https://elections.huffingtonpost.com/pollster/polls/washington-times-jz-analytics-13816,http://www.washingtontimes.com/news/2012/may/13/obamas-chief-edge-is-enthusiasm-factor/,Nonpartisan,None,,1
Rasmussen,2012-05-10,2012-05-12,2012-05-14T10:37:27Z,1500,Likely Voters,Automated Phone,44.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13775,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Gallup,2012-05-04,2012-05-10,2012-05-11T14:53:05Z,2265,Registered Voters,Live Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13752,http://www.gallup.com/poll/153902/Romney-Obama-Tight-Race-Gallup-Daily-Tracking-Begins.aspx?utm_source=alert&utm_medium=email&utm_campaign=syndication&utm_content=morelink&utm_term=Politics,Nonpartisan,None,,1
Rasmussen,2012-05-07,2012-05-09,2012-05-10T10:59:44Z,1500,Likely Voters,Automated Phone,45.0,49.0,2.0,3.0,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13728,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Angus-Reid,2012-05-07,2012-05-08,2012-05-09T17:46:46Z,769,Likely Voters,Internet,46.0,49.0,,5.0,https://elections.huffingtonpost.com/pollster/polls/angus-reid-13723,http://www.angus-reid.com/wp-content/uploads/2012/05/2012.05.09_Presidential_USA.pdf,Nonpartisan,None,,1
Gallup,2012-05-06,2012-05-08,2012-05-09T13:05:18Z,1500,Adults,Live Phone,44.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13720,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
YouGov/Economist,2012-05-05,2012-05-07,2012-05-09T14:56:07Z,715,Registered Voters,Internet,44.0,43.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13721,http://cdn.yougov.com/cumulus_uploads/document/s0tv1r0a0f/econToplines.pdf?utm_source=Economist%2FYouGov+Poll+Results+Week+Of+May+5+2012+&utm_campaign=Google+Analytics&utm_medium=email,Nonpartisan,None,,1
AP-GfK,2012-05-03,2012-05-07,2012-05-09T17:36:43Z,871,Registered Voters,Live Phone,50.0,42.0,3.0,6.0,https://elections.huffingtonpost.com/pollster/polls/ap-gfk-13722,http://surveys.ap.org/data/GfK/AP-GfK%20Poll%20May%202012%20Topline%20final_2012eln.pdf,Nonpartisan,None,,1
Ipsos/Reuters,2012-05-03,2012-05-07,2012-05-08T15:59:23Z,959,Registered Voters,Live Phone,49.0,42.0,4.0,6.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-13713,http://www.ipsos-na.com/download/pr.aspx?id=11610,Nonpartisan,None,,1
Rasmussen,2012-05-04,2012-05-06,2012-05-07T10:56:14Z,1500,Likely Voters,Automated Phone,45.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13699,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-05-03,2012-05-06,2012-05-09T10:41:14Z,1000,Registered Voters,Automated Phone,48.0,45.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13716,http://dailykos.com/weeklypolling/2012/5/3,Sponsor,Dem,,1
TIPP/Investor's Business Daily/Christian Science Monitor,2012-04-27,2012-05-04,2012-05-09T10:49:34Z,856,Registered Voters,Live Phone,46.0,43.0,8.0,3.0,https://elections.huffingtonpost.com/pollster/polls/tipp-investor-s-business-daily-christian-science-monitor-13717,http://www.tipponline.com/presidency/news/presidency/race-tightens-obama-lead-over-romney-narrows-to-3-points,Nonpartisan,None,,1
Rasmussen,2012-05-01,2012-05-03,2012-05-04T11:22:37Z,1500,Likely Voters,Automated Phone,47.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13688,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Politico/GWU/Battleground,2012-04-29,2012-05-03,2012-05-07T11:14:33Z,1000,Likely Voters,Live Phone,47.0,48.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-13703,http://images.politico.com/global/2012/05/bg_47_questionnaire.html,Nonpartisan,None,,1
Gallup,2012-04-29,2012-05-03,2012-05-04T13:02:21Z,2265,Registered Voters,Live Phone,45.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13692,http://www.gallup.com/poll/153902/Romney-Obama-Tight-Race-Gallup-Daily-Tracking-Begins.aspx?utm_source=alert&utm_medium=email&utm_campaign=syndication&utm_content=morelink&utm_term=Politics,Nonpartisan,None,,1
Resurgent Republic (R),2012-04-30,2012-05-02,2012-05-10T11:51:53Z,1000,Registered Voters,Live Phone,49.0,42.0,8.0,1.0,https://elections.huffingtonpost.com/pollster/polls/resurgent-republic-r-13733,http://s3.amazonaws.com/resurgentrepublic.com/resurgentrepublic/production/assets/473/original/rr_may_toplines.pdf,Pollster,Rep,,1
Gallup,2012-04-30,2012-05-02,2012-05-03T14:33:15Z,1500,Adults,Live Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13681,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
Democracy Corps (D),2012-04-28,2012-05-01,2012-05-03T15:02:58Z,1000,Likely Voters,Live Phone,47.0,47.0,2.0,,https://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-13683,http://www.democracycorps.com/wp-content/files/2012-May-1-DCorps-FQ_updated_WEB.pdf,Pollster,Dem,,1
YouGov/Economist,2012-04-28,2012-04-30,2012-05-02T15:47:38Z,715,Registered Voters,Internet,48.0,43.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13672,http://cdn.yougov.com/cumulus_uploads/document/0p6rgsuach/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-04-28,2012-04-30,2012-05-01T11:17:56Z,1500,Likely Voters,Automated Phone,46.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13654,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-04-26,2012-04-29,2012-05-01T16:59:07Z,1000,Registered Voters,Automated Phone,49.0,44.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13658,http://dailykos.com/weeklypolling/2012/4/26,Sponsor,Dem,,1
Gallup,2012-04-23,2012-04-28,2012-04-29T13:56:18Z,2265,Registered Voters,Live Phone,47.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13643,http://www.gallup.com/poll/153902/Romney-Obama-Tight-Race-Gallup-Daily-Tracking-Begins.aspx?utm_source=alert&utm_medium=email&utm_campaign=syndication&utm_content=morelink&utm_term=Politics,Nonpartisan,None,,1
Rasmussen,2012-04-25,2012-04-27,2012-04-29T13:51:48Z,1500,Likely Voters,Automated Phone,47.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13640,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
FOX,2012-04-22,2012-04-24,2012-04-26T11:53:13Z,915,Registered Voters,Live Phone,46.0,46.0,7.0,1.0,https://elections.huffingtonpost.com/pollster/polls/fox-13628,http://www.foxnews.com/politics/interactive/2012/04/25/fox-news-poll-45-percent-approve-obama/,Nonpartisan,None,,1
Gallup,2012-04-22,2012-04-24,2012-04-25T13:59:43Z,1500,Adults,Live Phone,49.0,43.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13615,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
Rasmussen,2012-04-22,2012-04-24,2012-04-25T12:04:41Z,1500,Likely Voters,Automated Phone,44.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13610,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-04-21,2012-04-23,2012-04-25T17:33:38Z,715,Registered Voters,Internet,46.0,47.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13625,http://cdn.yougov.com/cumulus_uploads/document/hhso6vssxx/econToplines.pdf,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-04-19,2012-04-22,2012-04-24T13:07:24Z,1000,Registered Voters,Automated Phone,49.0,44.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13600,http://dailykos.com/weeklypolling/2012/4/19,Sponsor,Dem,,1
Gallup,2012-04-18,2012-04-22,2012-04-24T11:06:18Z,2265,Registered Voters,Live Phone,47.0,44.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13598,http://www.gallup.com/poll/153902/Romney-Obama-Tight-Race-Gallup-Daily-Tracking-Begins.aspx?utm_source=alert&utm_medium=email&utm_campaign=syndication&utm_content=morelink&utm_term=Politics,Nonpartisan,None,,1
Rasmussen,2012-04-19,2012-04-21,2012-04-23T11:29:24Z,1500,Likely Voters,Automated Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13580,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Rasmussen,2012-04-16,2012-04-18,2012-04-19T11:48:32Z,1500,Likely Voters,Automated Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13562,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
NBC/WSJ,2012-04-13,2012-04-17,2012-04-20T08:58:13Z,,Registered Voters,Live Phone,49.0,43.0,3.0,4.0,https://elections.huffingtonpost.com/pollster/polls/nbc-wsj-13569,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/12336%20APRIL%20NBC-WSJ%20Poll%20Release%20(4-19).pdf,Nonpartisan,None,,1
Gallup,2012-04-13,2012-04-17,2012-04-18T14:04:29Z,2265,Registered Voters,Live Phone,44.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-13556,http://www.gallup.com/poll/153902/Romney-Obama-Tight-Race-Gallup-Daily-Tracking-Begins.aspx?utm_source=alert&utm_medium=email&utm_campaign=syndication&utm_content=morelink&utm_term=Politics,Nonpartisan,None,,1
CBS/Times,2012-04-13,2012-04-17,2012-04-18T11:10:55Z,852,Registered Voters,Live Phone,46.0,46.0,6.0,2.0,https://elections.huffingtonpost.com/pollster/polls/cbs-times-13553,http://www.cbsnews.com/8301-250_162-57416095/cbs-news-nyt-poll-4-18-12/,Nonpartisan,None,,1
Quinnipiac,2012-04-11,2012-04-17,2012-04-19T08:49:41Z,2577,Registered Voters,Live Phone,46.0,42.0,9.0,2.0,https://elections.huffingtonpost.com/pollster/polls/quinnipiac-13560,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/search-releases/search-results/release-detail?ReleaseID=1737&What=&strArea=;&strTime=0,Nonpartisan,None,,1
YouGov/Economist,2012-04-14,2012-04-16,2012-04-19T13:25:23Z,715,Registered Voters,Internet,49.0,42.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13564,http://cdn.yougov.com/cumulus_uploads/document/q7qphtiux5/econToplines.pdf,Nonpartisan,None,,1
CNN,2012-04-13,2012-04-15,2012-04-16T16:15:26Z,910,Registered Voters,Live Phone,52.0,43.0,1.0,6.0,https://elections.huffingtonpost.com/pollster/polls/cnn-13536,http://i2.cdn.turner.com/cnn/2012/images/04/16/rel4a.pdf,Nonpartisan,None,,1
Rasmussen,2012-04-13,2012-04-15,2012-04-16T11:30:46Z,1500,Likely Voters,Automated Phone,44.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13526,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
PPP (D),2012-04-12,2012-04-15,2012-04-19T16:50:53Z,900,Registered Voters,Automated Phone,49.0,46.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/ppp-d-13568,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_US_041912.pdf,Pollster,Dem,,1
DailyKos/SEIU/PPP (D),2012-04-12,2012-04-15,2012-04-18T14:06:02Z,1000,Registered Voters,Automated Phone,50.0,44.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-13557,http://dailykos.com/weeklypolling/2012/4/12,Sponsor,Dem,,1
Ipsos/Reuters,2012-04-12,2012-04-15,2012-04-16T17:19:40Z,891,Registered Voters,Live Phone,47.0,43.0,7.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-13538,http://www.reuters.com/article/2012/04/16/us-usa-campaign-poll-idUSBRE83F16V20120416,Nonpartisan,None,,1
Pew,2012-04-04,2012-04-15,2012-04-17T13:41:24Z,2373,Registered Voters,Live Phone,49.0,45.0,4.0,2.0,https://elections.huffingtonpost.com/pollster/polls/pew-13548,http://www.people-press.org/2012/04/17/with-voters-focused-on-economy-obama-lead-narrows/?src=prc-twitter,Nonpartisan,None,,1
Rasmussen,2012-04-10,2012-04-12,2012-04-13T11:42:57Z,1500,Likely Voters,Automated Phone,44.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13520,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
FOX,2012-04-09,2012-04-11,2012-04-13T12:00:57Z,910,Registered Voters,Live Phone,44.0,46.0,8.0,2.0,https://elections.huffingtonpost.com/pollster/polls/fox-13521,http://www.foxnews.com/politics/interactive/2012/04/12/fox-news-poll-romney-edges-obama-as-approval-president-drops/,Nonpartisan,None,,1
YouGov/Economist,2012-04-07,2012-04-10,2012-04-12T13:31:55Z,715,Registered Voters,Internet,46.0,43.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13517,http://cdn.yougov.com/cumulus_uploads/document/62c5cvpx77/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-04-07,2012-04-09,2012-04-10T11:03:14Z,1500,Likely Voters,Automated Phone,45.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13482,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
ABC/Post,2012-04-05,2012-04-08,2012-04-10T11:01:56Z,,Registered Voters,Live Phone,51.0,43.0,4.0,2.0,https://elections.huffingtonpost.com/pollster/polls/abc-post-13481,http://www.washingtonpost.com/wp-srv/politics/polls/postabcpoll_04082012.html,Nonpartisan,None,,1
Rasmussen,2012-04-04,2012-04-06,2012-04-09T11:24:20Z,1500,Likely Voters,Automated Phone,47.0,44.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13473,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
TIPP/Investor's Business Daily/Christian Science Monitor,2012-03-30,2012-04-05,2012-04-16T12:25:14Z,816,Registered Voters,Live Phone,46.0,38.0,11.0,5.0,https://elections.huffingtonpost.com/pollster/polls/tipp-investor-s-business-daily-christian-science-monitor-13532,http://www.tipponline.com/presidency/news/presidency/obama-leads-romney-46-to-38,Nonpartisan,None,,1
Rasmussen,2012-04-01,2012-04-03,2012-04-04T12:42:18Z,1500,Likely Voters,Automated Phone,44.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13426,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-03-31,2012-04-03,2012-04-05T09:18:45Z,1000,Adults,Internet,47.0,44.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13440,http://cdn.yougov.com/cumulus_uploads/document/tcsmuw8ni1/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-03-29,2012-03-31,2012-04-02T11:46:16Z,1500,Likely Voters,Automated Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13405,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Rasmussen,2012-03-26,2012-03-28,2012-03-29T11:20:04Z,1500,Likely Voters,Automated Phone,44.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13379,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-03-24,2012-03-27,2012-03-29T11:03:01Z,715,Registered Voters,Internet,46.0,43.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13377,http://cdn.yougov.com/cumulus_uploads/document/id0byp7yy7/econToplines.pdf,Nonpartisan,None,,1
Gallup,2012-03-25,2012-03-26,2012-04-02T11:51:07Z,901,Registered Voters,Live Phone,49.0,45.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/gallup-13408,http://www.gallup.com/poll/153668/Obama-Romney-Among-Registered-Voters-Nationwide.aspx,Nonpartisan,None,,1
CNN,2012-03-24,2012-03-25,2012-03-28T16:52:53Z,925,Registered Voters,Live Phone,54.0,43.0,,3.0,https://elections.huffingtonpost.com/pollster/polls/cnn-13374,http://i2.cdn.turner.com/cnn/2012/images/03/28/rel3d.pdf,Nonpartisan,None,,1
Rasmussen,2012-03-23,2012-03-25,2012-03-26T11:59:01Z,1500,Likely Voters,Automated Phone,46.0,43.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13330,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Suffolk,2012-03-21,2012-03-25,2012-03-26T13:54:49Z,1070,Likely Voters,Live Phone,47.0,37.0,7.0,7.0,https://elections.huffingtonpost.com/pollster/polls/suffolk-13338,http://www.suffolk.edu/51086.html,Nonpartisan,None,,1
Marist/McClatchy,2012-03-20,2012-03-22,2012-03-27T11:22:34Z,846,Registered Voters,Live Phone,46.0,44.0,9.0,,https://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-13344,http://www.mcclatchydc.com/2012/03/26/143149/mcclatchy-marist-poll-on-politics.html,Nonpartisan,None,,1
Rasmussen,2012-03-20,2012-03-22,2012-03-23T14:20:27Z,1500,Likely Voters,Automated Phone,45.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13309,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-03-17,2012-03-20,2012-03-21T16:35:33Z,715,Registered Voters,Internet,49.0,42.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-13283,http://cdn.yougov.com/cumulus_uploads/document/3nqergp46v/econToplines.pdf,Nonpartisan,None,,1
Reason/Rupe,2012-03-10,2012-03-20,2012-03-26T17:40:40Z,1200,Adults,Live Phone,46.0,40.0,11.0,3.0,https://elections.huffingtonpost.com/pollster/polls/reason-rupe-13340,http://reason.com/assets/db/13327241811317.pdf,Nonpartisan,None,,1
Rasmussen,2012-03-17,2012-03-19,2012-03-20T11:08:11Z,1500,Likely Voters,Automated Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13258,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
PPP (D),2012-03-15,2012-03-17,2012-03-22T13:57:59Z,900,Registered Voters,Automated Phone,48.0,44.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/ppp-d-13288,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_US_032212.pdf,Pollster,Dem,,1
Rasmussen,2012-03-14,2012-03-16,2012-03-19T11:23:49Z,1500,Likely Voters,Automated Phone,49.0,43.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-13233,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
